route_id,recorded_at,distance,next_distance
100057,2020-02-20 02:24:45,34730988.0,347326.0
100057,2020-02-20 02:25:13,34736428.0,3474144.0
100057,2020-02-20 02:26:23,34766536.0,3477801.0
100057,2020-02-20 02:28:31,34792212.0,3479923.0
100057,2020-02-20 02:28:45,3479923.0,348153.0
100057,2020-02-20 02:36:35,34904792.0,3490607.0
100057,2020-02-20 02:40:50,34935304.0,3494575.0
100057,2020-02-20 02:44:51,34950188.0,3495105.0
100057,2020-02-20 02:45:31,34955976.0,3495758.0
100057,2020-02-20 02:45:59,34970188.0,3497892.0
100057,2020-02-20 02:58:48,34996084.0,350046.0
100057,2020-02-20 03:03:02,35043864.0,3504387.0
100057,2020-02-20 03:13:47,35066824.0,3506861.0
100057,2020-02-20 03:15:23,35096356.0,3511156.0
100057,2020-02-20 03:16:03,35133536.0,3514416.0
100057,2020-02-20 03:16:16,3514416.0,351561.0
100057,2020-02-20 03:16:58,35181028.0,351977.0
100057,2020-02-20 03:17:25,35212852.0,3521331.0
100057,2020-02-20 03:17:54,35213364.0,352134.0
100057,2020-02-20 03:19:03,35213444.0,3521348.0
100057,2020-02-20 03:21:17,35249048.0,3525583.0
100057,2020-02-20 03:23:48,35272348.0,3527585.0
100057,2020-02-20 03:26:35,35282084.0,3529331.0
100057,2020-02-20 03:27:33,35330684.0,3534455.0
100057,2020-02-20 03:28:11,35361564.0,3537481.0
100057,2020-02-20 03:32:56,35437152.0,3544496.0
100057,2020-02-20 03:34:46,35482096.0,3548225.0
100057,2020-02-20 03:35:27,35482808.0,354829.0
100057,2020-02-20 03:36:10,35482944.0,354832.0
100057,2020-02-20 03:38:06,35520356.0,3552572.0
100057,2020-02-20 03:39:33,35548572.0,3556166.0
100057,2020-02-20 03:40:02,35576304.0,3559157.0
100057,2020-02-20 03:40:29,35608188.0,3562924.0
100057,2020-02-20 03:41:11,35673408.0,3569837.0
100057,2020-02-20 03:42:38,35751136.0,3575645.0
100057,2020-02-20 03:47:57,35756476.0,3575673.0
100057,2020-02-20 03:48:52,35761356.0,3576499.0
100057,2020-02-20 03:50:17,35783576.0,3579221.0
100057,2020-02-20 03:51:26,35798216.0,3579893.0
100057,2020-02-20 03:52:24,35833264.0,3584472.0
100057,2020-02-20 03:54:01,35892464.0,3589247.0
100057,2020-02-20 03:56:21,35893696.0,3589755.0
100057,2020-02-20 03:57:46,35932252.0,3593568.0
100057,2020-02-20 03:58:26,35946684.0,3594669.0
100057,2020-02-20 04:01:17,35946784.0,359468.0
100057,2020-02-20 04:04:18,35949156.0,3595225.0
100057,2020-02-20 04:04:32,3595225.0,359526.0
100057,2020-02-20 04:06:39,35952684.0,3595622.0
100057,2020-02-20 04:07:23,35960456.0,3597129.0
100057,2020-02-20 04:10:29,36025844.0,3603152.0
100057,2020-02-20 04:11:27,36063012.0,3607648.0
100057,2020-02-20 04:11:41,3607648.0,360891.0
100057,2020-02-20 04:12:09,36099464.0,3610748.0
100057,2020-02-20 04:12:37,36109632.0,3610969.0
100057,2020-02-20 04:16:18,36155704.0,3616791.0
100057,2020-02-20 04:16:45,36180484.0,3619236.0
100057,2020-02-20 04:17:51,36209252.0,3622137.0
100057,2020-02-20 04:18:46,36266432.0,3629149.0
100057,2020-02-20 04:19:12,36314512.0,3634115.0
100057,2020-02-20 04:19:26,3634115.0,363662.0
100057,2020-02-20 04:20:20,36449252.0,3646259.0
100057,2020-02-20 04:21:14,36494440.0,3651417.0
100057,2020-02-20 04:21:42,3653669.0,365603.0
100057,2020-02-20 04:23:49,36683552.0,366882.0
100057,2020-02-20 04:26:54,36717240.0,367177.0
100057,2020-02-20 04:28:29,36744696.0,3674949.0
100057,2020-02-20 04:35:57,36755164.0,3675604.0
100057,2020-02-20 04:37:04,36771680.0,3677632.0
100057,2020-02-20 04:38:12,36789572.0,3679112.0
100057,2020-02-20 04:39:36,36816784.0,3681983.0
100057,2020-02-20 04:41:38,36847432.0,3684755.0
100057,2020-02-20 04:54:24,36890664.0,3691178.0
100057,2020-02-20 04:55:57,36985880.0,3699634.0
100057,2020-02-20 04:56:26,37010792.0,3702156.0
100057,2020-02-20 04:58:46,37026572.0,3702666.0
100057,2020-02-20 05:33:19,37027528.0,3703201.0
100057,2020-02-20 05:34:50,37128152.0,3714737.0
100057,2020-02-20 05:35:33,37198568.0,372268.0
100057,2020-02-20 05:36:01,37254120.0,372747.0
100057,2020-02-20 05:37:53,37354796.0,3735878.0
100057,2020-02-20 05:38:48,37408596.0,3741803.0
100057,2020-02-20 05:39:17,37424412.0,3742507.0
100057,2020-02-20 05:42:02,37530512.0,3753411.0
100057,2020-02-20 05:42:43,37537284.0,375423.0
100057,2020-02-20 05:43:25,37548024.0,3755111.0
100057,2020-02-20 05:44:22,37561376.0,3756456.0
100057,2020-02-20 05:44:50,37568064.0,3757153.0
100057,2020-02-20 05:45:46,37604584.0,3761728.0
100057,2020-02-20 05:46:42,37646424.0,3765277.0
100057,2020-02-20 05:47:09,37653156.0,3765316.0
100057,2020-02-20 05:47:36,37654496.0,376545.0
100057,2020-02-20 05:49:25,37657304.0,0.0
151768,2020-11-03 00:52:29,68328504.0,6840438.0
151768,2020-11-03 00:54:46,68727608.0,6883534.0
151768,2020-11-03 00:58:06,7312254.0,742981.0
151768,2020-11-03 00:58:32,75878896.0,7790376.0
151768,2020-11-03 00:59:12,82671672.0,8562617.0
151768,2020-11-03 00:59:40,88535976.0,9137425.0
151768,2020-11-03 01:00:10,94556240.0,9928656.0
151768,2020-11-03 01:03:28,17226664.0,1829804.0
151768,2020-11-03 01:04:25,20386420.0,2085159.0
151768,2020-11-03 01:05:38,23063862.0,2366695.0
151768,2020-11-03 01:07:05,24334446.0,2436274.0
151768,2020-11-03 01:09:43,24526528.0,2503173.0
151768,2020-11-03 01:14:41,33582528.0,3377883.0
151768,2020-11-03 01:15:51,35193892.0,3560706.0
151768,2020-11-03 01:17:30,37917140.0,3841395.0
151768,2020-11-03 01:21:46,38504432.0,3882893.0
151768,2020-11-03 01:22:15,39227504.0,3952112.0
151768,2020-11-03 01:23:13,40855968.0,4115437.0
151768,2020-11-03 01:25:45,41178152.0,4145727.0
151768,2020-11-03 01:30:18,42698204.0,4311875.0
151768,2020-11-03 01:31:30,44159556.0,4425628.0
151768,2020-11-03 01:32:22,44382304.0,4447779.0
151768,2020-11-03 01:34:43,45080292.0,4509649.0
151768,2020-11-03 01:35:53,45350464.0,4536666.0
151768,2020-11-03 01:36:33,46184776.0,4626265.0
151768,2020-11-03 01:38:38,46295144.0,4653975.0
151768,2020-11-03 01:41:24,48417216.0,4848108.0
151768,2020-11-03 01:44:13,49502344.0,4958626.0
151768,2020-11-03 01:46:09,50324768.0,5087961.0
151768,2020-11-03 01:49:12,52478488.0,5264214.0
151768,2020-11-03 01:49:40,53462516.0,5370511.0
151768,2020-11-03 01:50:09,53998668.0,5434136.0
151768,2020-11-03 01:51:30,54657952.0,5472167.0
151768,2020-11-03 01:55:15,55619872.0,5693572.0
151768,2020-11-03 01:56:40,62334968.0,6353678.0
151768,2020-11-03 01:57:36,67060472.0,6818051.0
151768,2020-11-03 02:00:52,68305672.0,6837754.0
151768,2020-11-03 02:01:47,69746160.0,6982368.0
151768,2020-11-03 02:03:09,70559616.0,7058583.0
151768,2020-11-03 02:07:09,70630984.0,7100623.0
151768,2020-11-03 02:07:22,7100623.0,713012.0
151768,2020-11-03 02:14:08,72450560.0,7281945.0
151768,2020-11-03 02:18:49,76286368.0,7681552.0
151768,2020-11-03 02:23:22,78309760.0,7915101.0
151768,2020-11-03 02:27:35,80346848.0,8135227.0
151768,2020-11-03 02:29:59,8457048.0,848046.0
151768,2020-11-03 02:34:12,8579406.0,860788.0
151768,2020-11-03 02:38:57,9074259.0,909192.0
151768,2020-11-03 02:42:27,9260529.0,926829.0
151768,2020-11-03 02:48:12,9748605.0,976545.0
151768,2020-11-03 02:49:08,9884268.0,99227.0
151768,2020-11-03 02:59:52,11356867.0,1148857.0
151768,2020-11-03 03:01:18,116444376.0,11673942.0
151768,2020-11-03 03:06:56,12164873.0,1223636.0
151768,2020-11-03 03:10:24,125059376.0,12505975.0
151768,2020-11-03 03:12:01,12757706.0,129372.0
151768,2020-11-03 03:15:15,131252296.0,13188561.0
151768,2020-11-03 03:26:44,15162998.0,1518981.0
151768,2020-11-03 03:32:43,16230984.0,1638753.0
151768,2020-11-03 03:34:36,16988476.0,1711129.0
151768,2020-11-03 03:36:58,18039396.0,1814732.0
151768,2020-11-03 03:39:03,18484926.0,1852259.0
151768,2020-11-03 03:42:07,18524056.0,1854394.0
151768,2020-11-03 03:46:10,18804012.0,1886105.0
151768,2020-11-03 03:47:06,19036834.0,1904365.0
151768,2020-11-03 03:57:13,19100504.0,1910589.0
151768,2020-11-03 03:59:04,19474768.0,1955835.0
151768,2020-11-03 03:59:19,1955835.0,196354.0
151768,2020-11-03 04:00:29,19780716.0,1981221.0
151768,2020-11-03 04:00:59,19872984.0,1988192.0
151768,2020-11-03 04:08:13,20173308.0,2019611.0
151768,2020-11-03 04:08:54,20346902.0,2041038.0
151768,2020-11-03 04:10:22,20564146.0,20610.0
151768,2020-11-03 04:15:36,21257116.0,2142631.0
151768,2020-11-03 04:17:17,23064484.0,2333862.0
151768,2020-11-03 04:20:47,25818832.0,2606217.0
151768,2020-11-03 04:24:45,28212608.0,282873.0
151768,2020-11-03 04:25:39,28618116.0,2854677.0
151768,2020-11-03 04:25:53,28676444.0,2869294.0
151768,2020-11-03 04:30:19,28711636.0,2871167.0
151768,2020-11-03 04:31:58,28747124.0,2877432.0
151768,2020-11-03 04:33:19,29164696.0,2929907.0
151768,2020-11-03 04:34:20,29613772.0,2968148.0
151768,2020-11-03 04:37:28,31706346.0,3193885.0
151768,2020-11-03 04:37:56,32182648.0,3240515.0
151768,2020-11-03 04:38:25,32436578.0,3252424.0
151768,2020-11-03 04:38:53,32686208.0,3292459.0
151768,2020-11-03 04:39:52,33696804.0,3393897.0
151768,2020-11-03 04:41:15,34670768.0,3495151.0
151768,2020-11-03 04:42:12,35882056.0,3620224.0
151768,2020-11-03 04:42:41,36438796.0,3653342.0
151768,2020-11-03 04:43:39,36650136.0,3682263.0
151768,2020-11-03 04:44:06,37012976.0,3716675.0
151768,2020-11-03 04:45:29,37822956.0,3797517.0
151768,2020-11-03 04:46:11,38259400.0,3847846.0
151768,2020-11-03 04:47:05,38717384.0,3891587.0
